,count,mean,std,min,25%,50%,75%,max,variance
LotArea,1459.0,9504.074023303632,3625.5310531738337,1470.0,7391.0,9399.0,11517.5,17707.25,13144475.417527769
OverallQual,1459.0,6.080191912268678,1.432432855783077,2.0,5.0,6.0,7.0,10.0,2.0518638863268617
OverallCond,1459.0,5.533584647018506,0.9433015424182943,3.5,5.0,5.0,6.0,7.5,0.8898177999287332
YearBuilt,1459.0,1971.3598355037698,30.38389588566663,1881.0,1953.0,1973.0,2001.0,2010.0,923.1811291910294
GrLivArea,1459.0,1478.0006854009596,457.8738697760253,407.0,1117.5,1432.0,1721.0,2626.25,209648.48062367257
FullBath,1459.0,1.5695681973954763,0.5497778750638401,0.0,1.0,2.0,2.0,3.5,0.30225571190971134
GarageCars,1459.0,1.7614804660726524,0.7626371122729139,0.0,1.0,2.0,2.0,3.5,0.5816153650159691
GarageArea,1459.0,470.2960932145305,209.7148761492121,0.0,318.0,480.0,576.0,963.0,43980.32927827937
TotalBsmtSF,1459.0,1040.195339273475,418.7822188971353,4.0,784.0,988.0,1304.0,2084.0,175378.54686440813
TotRmsAbvGrd,1459.0,6.363262508567512,1.4390857080841588,3.0,5.0,6.0,7.0,10.0,2.0709676752120845
